scope,scene,AUC@1,AUC@3,AUC@5,AUC@10,num_reg_images,num_images
summary_all,__all__,27.939101114158937,38.37225944989364,41.344796474234684,44.689473970156385,,
summary_avg,__avg__,31.473663152720604,45.24996272611648,49.27674592545229,53.27759538062826,,
scene,botanical_garden,10.179185068670845,14.854833356208946,16.565580161832912,18.065522402174626,28,30
scene,boulders,0.0,0.0,0.08018030008047401,0.3657772090450267,24,26
scene,bridge,20.923783157282188,24.969828584234584,26.106381674281298,29.269048567063646,110,110
scene,courtyard,35.76991733227956,64.8322089272135,73.07180871072498,79.48073970252702,37,38
scene,delivery_area,2.455340886131197,3.891459588088443,4.684289931674745,6.084324349929068,44,44
scene,door,67.41670855906904,80.32660855408388,82.82799976448497,87.23459433282693,7,7
scene,electro,28.02440503537573,49.317258090808885,56.31729872195183,64.05977086687429,45,45
scene,exhibition_hall,0.03961116991272628,0.03980866650268836,0.050765523500080505,0.10598020830050724,66,68
scene,facade,62.666425818848865,79.73297923569926,84.00182035469889,87.39872352955287,76,76
scene,kicker,27.848877569453887,45.15350501175894,49.93711094886872,54.12472173217244,28,31
scene,lecture_room,12.396343431517014,16.533306365618177,18.242261756002534,19.89391797364051,21,23
scene,living_room,55.542764202780035,74.96401331613396,79.71776554241018,83.69965987665053,64,65
scene,lounge,25.56474405426363,28.72360155344141,29.355373053276963,29.829201678153638,6,10
scene,meadow,21.08501709801505,39.99085123336362,46.547229979332386,52.201301062936395,15,15
scene,observatory,25.77279696175962,52.39930039083216,63.07797517124209,74.53057215258909,27,27
scene,office,18.139610739130905,39.29865601430277,50.568137717426154,63.60514851869885,25,26
scene,old_computer,7.181452535058519,12.5395586874338,14.181459121510649,15.573510809255152,52,54
scene,pipes,49.68172802488112,75.48564629007755,81.42020313892617,86.16464702400852,14,14
scene,playground,30.738679562306718,36.59552437857144,38.04693200850376,39.631678733939296,38,38
scene,relief,28.145138826629,38.42674515376875,41.90865259771345,47.708626438980644,31,31
scene,relief_2,44.84534915582486,72.92733308641044,79.88440454752848,85.37537191179239,31,31
scene,statue,58.594342418478085,80.13750807888663,84.44614121096834,87.67761606002962,11,11
scene,terrace,51.775715488525165,77.51646046106605,82.87351264027598,86.89130177468343,23,23
scene,terrace_2,74.87075837448086,84.86810952411253,87.28450207810387,89.0967964935974,13,13
scene,terrains,27.18288334734043,37.72396360429375,40.720861480987125,43.87133110628491,41,42
